task,method,rank,seed,epochs,lr,batch_size,max_length,alpha,dropout,use_fixed,use_spline,activation,num_basis,replaced_layers,trainable_params,total_params,trainable_percent,time_min,eval_loss,eval_accuracy,eval_f1,eval_main_score,eval_matthews_correlation
rte,lora,2,1,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.085787320137024,0.6619084477424622,0.6353790613718412,,0.6353790613718412,
rte,lora,2,2,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.0666619896888734,0.6936449408531189,0.4729241877256318,,0.4729241877256318,
rte,lora,8,1,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.0905576666196186,1.0052638053894043,0.7509025270758123,,0.7509025270758123,
rte,lora,8,2,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.0861116290092467,1.1587982177734375,0.7364620938628159,,0.7364620938628159,
rte,aurora,2,1,15,0.0005,16,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.6762394189834593,0.5888798832893372,0.7075812274368231,,0.7075812274368231,
rte,aurora,2,2,15,0.0005,16,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.690388989448548,0.6286817193031311,0.6389891696750902,,0.6389891696750902,
cola,lora,2,1,15,0.005,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,11.210939832528432,0.6192405819892883,,,0.0,0.0
cola,lora,2,2,15,0.005,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,11.207162316640218,0.618579089641571,,,0.0,0.0
cola,lora,8,1,15,0.005,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,11.225446538130443,0.6187195181846619,,,0.0,0.0
cola,lora,8,2,15,0.005,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,11.224926670392357,0.6185376644134521,,,0.0,0.0
cola,aurora,2,1,15,0.005,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,11.651677366097768,0.4853365123271942,,,0.6006236595789939,0.6006236595789939
cola,aurora,2,2,15,0.005,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,11.644310530026754,0.5066773295402527,,,0.5857056435790745,0.5857056435790745
mrpc,aurora,2,0,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.350680430730184,0.3263672590255737,0.8676470588235294,0.9028776978417268,0.8676470588235294,
mrpc,aurora,2,1,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3459721485773724,0.3056212663650512,0.8651960784313726,0.9043478260869564,0.8651960784313726,
mrpc,aurora,2,2,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3512795011202496,0.3087894320487976,0.8725490196078431,0.9100346020761244,0.8725490196078431,
mrpc,aurora,2,0,10,0.0008,32,256,4,0.0,False,True,tanh,8,24,666338,124721378,0.5342612555162757,3.312534948190053,0.4294187426567077,0.7720588235294118,0.8472906403940886,0.7720588235294118,
mrpc,aurora,2,1,10,0.0008,32,256,4,0.0,False,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3113653461138406,0.4364654719829559,0.7696078431372549,0.8453947368421053,0.7696078431372549,
mrpc,aurora,2,2,10,0.0008,32,256,4,0.0,False,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3090667406717937,0.4763275980949402,0.7647058823529411,0.8471337579617835,0.7647058823529411,
mrpc,aurora,2,0,10,0.0008,32,256,4,0.0,True,False,tanh,8,24,666338,124721378,0.5342612555162757,3.262252938747406,0.3301290571689605,0.8578431372549019,0.8960573476702509,0.8578431372549019,
mrpc,aurora,2,1,10,0.0008,32,256,4,0.0,True,False,tanh,8,24,666338,124721378,0.5342612555162757,3.259131145477295,0.3013005554676056,0.8700980392156863,0.9081455805892548,0.8700980392156863,
mrpc,aurora,2,2,10,0.0008,32,256,4,0.0,True,False,tanh,8,24,666338,124721378,0.5342612555162757,3.259271204471588,0.33365362882614136,0.8700980392156863,0.9087779690189329,0.8700980392156863,
